,ticker,trailingPE,forwardPE,ps_ttm,ev_ebitda
0,A,29.481308,22.332743,5.2698927,20.265
1,E,20.137932,10.305882,0.6047829,10.195
2,M,9.852273,6.7209306,0.20440437,6.561
3,.,,,,
4,T,16.762857,13.095982,1.6918044,8.258
5,O,58.11651,37.647797,9.992465,16.812
